name,description,unit,metric_type,gauge,sum,histogram,exponential_histogram,summary,metadata,resource,resource_schema_url,instrumentation_scope,metric_schema_url
redis.clients.max_output_buffer,Longest output list among current client connections,By,gauge,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0,""exemplars"":[],""attributes"":{},""flags"":null}",null,null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""host.name"":""docker-desktop"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.commands,Number of commands processed per second,{ops}/s,gauge,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":12,""exemplars"":[],""attributes"":{},""flags"":null}",null,null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""host.name"":""docker-desktop"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.commands.processed,Total number of commands processed by the server,{command},sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":23,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""os.type"":""linux"",""host.name"":""docker-desktop""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.cpu.time,System CPU consumed by the Redis server in seconds since server start,s,sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0.000628,""exemplars"":[],""attributes"":{""state"":""user_children""},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""host.name"":""docker-desktop"",""os.type"":""linux"",""redis.version"":""7.2.4""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.cpu.time,System CPU consumed by the Redis server in seconds since server start,s,sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0.025459,""exemplars"":[],""attributes"":{""state"":""sys""},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""os.type"":""linux"",""host.name"":""docker-desktop"",""redis.version"":""7.2.4""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.cpu.time,System CPU consumed by the Redis server in seconds since server start,s,sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0.028994,""exemplars"":[],""attributes"":{""state"":""user_main_thread""},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""os.type"":""linux"",""host.name"":""docker-desktop""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.cpu.time,System CPU consumed by the Redis server in seconds since server start,s,sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0.02826,""exemplars"":[],""attributes"":{""state"":""user""},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""host.name"":""docker-desktop"",""os.type"":""linux"",""redis.version"":""7.2.4""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.cpu.time,System CPU consumed by the Redis server in seconds since server start,s,sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0.023878,""exemplars"":[],""attributes"":{""state"":""sys_main_thread""},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""os.type"":""linux"",""host.name"":""docker-desktop""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.db.avg_ttl,Average keyspace keys TTL,ms,gauge,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0,""exemplars"":[],""attributes"":{""db"":""0""},""flags"":null}",null,null,null,null,{},"{""attributes"":{""host.name"":""docker-desktop"",""os.type"":""linux"",""redis.version"":""7.2.4""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.cpu.time,System CPU consumed by the Redis server in seconds since server start,s,sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0.001444,""exemplars"":[],""attributes"":{""state"":""sys_children""},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""host.name"":""docker-desktop"",""redis.version"":""7.2.4"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
