event_name,trace_id,span_id,time_unix_nano,observed_time_unix_nano,severity_number,severity_text,body,attributes,dropped_attributes_count,flags,resource,resource_schema_url,instrumentation_scope,log_schema_url
null,f1adc4246c06463831f9aed01c464d84,b8da98110ad39431,1761344640762559000,null,null,null,"[2025-10-24T22:24:00.762Z] ""GET /api/data HTTP/1.1"" 200 - via_upstream - ""-"" 0 195 9 9 ""-"" ""python-requests/2.32.4"" ""c163dc1c-3de1-93dd-b101-550fa9248c92"" ""frontend-proxy:8080"" ""172.19.0.25:8080"" frontend 172.19.0.27:60806 172.19.0.27:8080 172.19.0.26:38320 - -
","{""upstream.host"":""172.19.0.25:8080"",""event.name"":""proxy.access"",""upstream.cluster"":""frontend"",""url.path"":""/api/data"",""url.template"":""-"",""url.full"":""http://frontend-proxy:8080/api/data"",""source.address"":""172.19.0.26"",""user_agent.original"":""python-requests/2.32.4"",""destination.address"":""172.19.0.25"",""server.address"":""172.19.0.27:8080"",""url.query"":""-""}",null,null,"{""attributes"":{""log_name"":""otel_envoy_access_log"",""service.name"":""frontend-proxy"",""node_name"":"""",""cluster_name"":"""",""host.name"":""docker-desktop"",""zone_name"":"""",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":null,""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,,,1761344640132083757,1761344640132088340,SEVERITY_NUMBER_INFO,INFO,"Loaded 10 products
","{""products"":""10""}",null,null,"{""attributes"":{""telemetry.sdk.language"":""go"",""telemetry.sdk.version"":""1.38.0"",""host.name"":""docker-desktop"",""service.namespace"":""opentelemetry-demo"",""service.version"":""2.1.3"",""telemetry.sdk.name"":""opentelemetry"",""os.type"":""linux"",""service.name"":""product-catalog""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.37.0,"{""name"":""product-catalog"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,f1adc4246c06463831f9aed01c464d84,b199b30cec4df53c,1761344640765930923,1761344640765934340,SEVERITY_NUMBER_INFO,INFO,no baggage found in context,{},null,1,"{""attributes"":{""service.version"":""2.1.3"",""service.namespace"":""opentelemetry-demo"",""host.name"":""docker-desktop"",""telemetry.distro.name"":""opentelemetry-java-instrumentation"",""telemetry.distro.version"":""2.21.0"",""process.runtime.description"":""Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.8+9-LTS"",""telemetry.sdk.version"":""1.55.0"",""telemetry.sdk.name"":""opentelemetry"",""container.id"":""9b8984aff8923bed249d4d83d3594a07bb2b54fc774e7b8089c3d831d4283e14"",""service.name"":""ad"",""service.instance.id"":""a73adb10-7463-4149-a7b3-f9985c555da0"",""process.pid"":""1"",""os.description"":""Linux 6.10.14-linuxkit"",""process.runtime.name"":""OpenJDK Runtime Environment"",""process.command_line"":""/opt/java/openjdk/bin/java -javaagent:/usr/src/app/opentelemetry-javaagent.jar oteldemo.AdService"",""process.executable.path"":""/opt/java/openjdk/bin/java"",""os.type"":""linux"",""process.runtime.version"":""21.0.8+9-LTS"",""telemetry.sdk.language"":""java"",""host.arch"":""aarch64""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.24.0,"{""name"":""oteldemo.AdService"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,f1adc4246c06463831f9aed01c464d84,b199b30cec4df53c,1761344640766842798,1761344640766846840,SEVERITY_NUMBER_INFO,INFO,"Non-targeted ad request received, preparing random response.",{},null,1,"{""attributes"":{""host.arch"":""aarch64"",""process.command_line"":""/opt/java/openjdk/bin/java -javaagent:/usr/src/app/opentelemetry-javaagent.jar oteldemo.AdService"",""process.runtime.name"":""OpenJDK Runtime Environment"",""telemetry.sdk.version"":""1.55.0"",""os.description"":""Linux 6.10.14-linuxkit"",""telemetry.sdk.language"":""java"",""process.runtime.description"":""Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.8+9-LTS"",""service.namespace"":""opentelemetry-demo"",""process.executable.path"":""/opt/java/openjdk/bin/java"",""container.id"":""9b8984aff8923bed249d4d83d3594a07bb2b54fc774e7b8089c3d831d4283e14"",""telemetry.distro.name"":""opentelemetry-java-instrumentation"",""service.version"":""2.1.3"",""service.name"":""ad"",""process.pid"":""1"",""process.runtime.version"":""21.0.8+9-LTS"",""telemetry.distro.version"":""2.21.0"",""os.type"":""linux"",""host.name"":""docker-desktop"",""telemetry.sdk.name"":""opentelemetry"",""service.instance.id"":""a73adb10-7463-4149-a7b3-f9985c555da0""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.24.0,"{""name"":""oteldemo.AdService"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,,,1761344642368650674,1761344642368657966,SEVERITY_NUMBER_INFO,INFO,[SnapshotGenerator id=1] Creating new KRaft snapshot file snapshot 00000000000000000226-0000000001 because we have replayed at least 2800 bytes.,{},null,null,"{""attributes"":{""service.name"":""kafka"",""service.namespace"":""opentelemetry-demo"",""os.description"":""Linux 6.10.14-linuxkit"",""os.type"":""linux"",""process.runtime.name"":""OpenJDK Runtime Environment"",""telemetry.distro.name"":""opentelemetry-java-instrumentation"",""telemetry.sdk.language"":""java"",""telemetry.sdk.version"":""1.55.0"",""process.runtime.description"":""Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.7+6-LTS"",""process.pid"":""1"",""service.version"":""2.1.3"",""host.arch"":""aarch64"",""container.id"":""327e1d1effd171b6551ade46179487960eba7c27667acc51a7d1f4c56ff9fc95"",""service.instance.id"":""dbd89cad-3fe5-48a6-af8e-eb26c819f8d1"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.distro.version"":""2.21.0"",""process.executable.path"":""/opt/java/openjdk/bin/java"",""host.name"":""docker-desktop"",""process.runtime.version"":""21.0.7+6-LTS"",""process.command_line"":""/opt/java/openjdk/bin/java -Xmx400m -Xms400m -XX:SharedArchiveFile=/opt/kafka/kafka.jsa -Xlog:gc*:file=/opt/kafka/bin/../logs/kafkaServer-gc.log:time,tags:filecount=10,filesize=100M -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dkafka.logs.dir=/opt/kafka/bin/../logs -Dlog4j.configuration=file:/opt/kafka/bin/../config/log4j.properties -javaagent:/tmp/opentelemetry-javaagent.jar -Dotel.jmx.target.system=kafka-broker kafka.Kafka /opt/kafka/config/server.properties""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.24.0,"{""name"":""org.apache.kafka.image.publisher.SnapshotGenerator"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,,,1761344642371801841,1761344642371806383,SEVERITY_NUMBER_INFO,INFO,[SnapshotEmitter id=1] Successfully wrote snapshot 00000000000000000226-0000000001,{},null,null,"{""attributes"":{""process.command_line"":""/opt/java/openjdk/bin/java -Xmx400m -Xms400m -XX:SharedArchiveFile=/opt/kafka/kafka.jsa -Xlog:gc*:file=/opt/kafka/bin/../logs/kafkaServer-gc.log:time,tags:filecount=10,filesize=100M -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dkafka.logs.dir=/opt/kafka/bin/../logs -Dlog4j.configuration=file:/opt/kafka/bin/../config/log4j.properties -javaagent:/tmp/opentelemetry-javaagent.jar -Dotel.jmx.target.system=kafka-broker kafka.Kafka /opt/kafka/config/server.properties"",""service.instance.id"":""dbd89cad-3fe5-48a6-af8e-eb26c819f8d1"",""process.runtime.version"":""21.0.7+6-LTS"",""process.executable.path"":""/opt/java/openjdk/bin/java"",""process.runtime.description"":""Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.7+6-LTS"",""service.version"":""2.1.3"",""telemetry.distro.version"":""2.21.0"",""telemetry.sdk.version"":""1.55.0"",""service.name"":""kafka"",""telemetry.sdk.language"":""java"",""host.arch"":""aarch64"",""telemetry.distro.name"":""opentelemetry-java-instrumentation"",""telemetry.sdk.name"":""opentelemetry"",""host.name"":""docker-desktop"",""process.runtime.name"":""OpenJDK Runtime Environment"",""os.description"":""Linux 6.10.14-linuxkit"",""service.namespace"":""opentelemetry-demo"",""os.type"":""linux"",""container.id"":""327e1d1effd171b6551ade46179487960eba7c27667acc51a7d1f4c56ff9fc95"",""process.pid"":""1""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.24.0,"{""name"":""org.apache.kafka.image.publisher.SnapshotEmitter"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,e786c8561bad0087ffd78b159521de90,cc0a9b8d5886ae26,1761345197420193000,1761345197420233984,SEVERITY_NUMBER_INFO,INFO,Calculated quote,"{""context"":""{\""total\"":404.1}""}",null,1,"{""attributes"":{""service.namespace"":""opentelemetry-demo"",""telemetry.sdk.language"":""php"",""os.description"":""6.10.14-linuxkit"",""process.runtime.version"":""8.4.13"",""os.type"":""linux"",""os.version"":""#1 SMP Tue Oct 14 07:32:13 UTC 2025"",""process.owner"":""www-data"",""service.name"":""quote"",""service.version"":""2.1.3"",""telemetry.distro.name"":""opentelemetry-php-instrumentation"",""telemetry.sdk.name"":""opentelemetry"",""process.executable.path"":""/usr/local/bin/php"",""host.name"":""docker-desktop"",""container.id"":""f2492309edaa4dade3b84cd97da01aaed8362ec056502cf9be5931f178df0114"",""telemetry.distro.version"":""1.2.1"",""os.name"":""Linux"",""host.arch"":""aarch64"",""process.runtime.name"":""cli"",""process.command"":""public/index.php"",""process.pid"":""1"",""telemetry.sdk.version"":""1.9.0"",""process.command_args"":""[\""public/index.php\""]""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""slim-app"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,,,1761345199545111793,1761345199545119751,SEVERITY_NUMBER_INFO,INFO,Reloading Product Catalog...,{},null,null,"{""attributes"":{""telemetry.sdk.language"":""go"",""service.namespace"":""opentelemetry-demo"",""os.type"":""linux"",""service.name"":""product-catalog"",""telemetry.sdk.version"":""1.38.0"",""host.name"":""docker-desktop"",""service.version"":""2.1.3"",""telemetry.sdk.name"":""opentelemetry""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.37.0,"{""name"":""product-catalog"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,,,1761345199546568876,1761345199546574210,SEVERITY_NUMBER_INFO,INFO,"Loaded 10 products
","{""products"":""10""}",null,null,"{""attributes"":{""telemetry.sdk.version"":""1.38.0"",""os.type"":""linux"",""telemetry.sdk.language"":""go"",""service.version"":""2.1.3"",""telemetry.sdk.name"":""opentelemetry"",""service.namespace"":""opentelemetry-demo"",""service.name"":""product-catalog"",""host.name"":""docker-desktop""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.37.0,"{""name"":""product-catalog"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
null,c2b76c00ea24d6dab5c2976197348357,7128361e1febac00,1761345197370430100,1761345197370430100,SEVERITY_NUMBER_INFO,Information,"AddItemAsync called with userId=6fa882ac-b129-11f0-b169-828a6e0bc972, productId=2ZYFJ3GM2N, quantity=3",{},null,1,"{""attributes"":{""service.version"":""2.1.3"",""telemetry.sdk.language"":""dotnet"",""telemetry.sdk.version"":""1.11.2"",""telemetry.sdk.name"":""opentelemetry"",""service.namespace"":""opentelemetry-demo"",""service.name"":""cart"",""host.name"":""docker-desktop"",""container.id"":""4e1411ec357d94da6c20efcc43bcc26ea502a0aea51f858e9afe33233345af52"",""os.type"":""linux"",""service.instance.id"":""09a14bc4-3ca3-42f5-8b62-f1e4b14b73ef""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""cart.cartstore.ValkeyCartStore"",""version"":null,""attributes"":{},""dropped_attributes_count"":null}",null
